Geofence,LOCATION,BADGE,MUG,DoorType,Datetime,Latitude,Longitude,,
S1,LT1,B1,0,EXIT,11/4/2020 6:51,37.76487,-122.41948,,
S1,LT1,B2,0,EXIT,11/9/2020 11:42,37.76487,-122.41948,,
S1,LT2,B3,1,ENTRY,11/9/2020 13:10,37.795819,-122.423343,,
S1,LT2,B4,0,ENTRY,11/9/2020 9:37,,,,
S1,LT2,B5,0,ENTRY,11/9/2020 8:27,,,,
S1,LT2,B6,0,DROP-OFF,10/25/2020 14:19,,,,
S1,LT2,B7,1,EXIT,10/10/2020 9:24,,,,
S1,LT2,B8,0,EXIT,11/2/2020 7:11,,,,
S1,LT2,B9,0,EXIT,11/9/2020 9:47,,,,
S1,LT2,B10,0,EXIT,10/15/2020 7:39,,,,
S1,LT2,B11,1,EXIT,11/9/2020 13:11,,,,
S1,LT2,B12,1,EXIT,11/9/2020 7:31,,,,
S1,LT2,B13,0,EXIT,11/9/2020 6:17,,,,
S1,LT2,B14,0,EXIT,11/9/2020 5:52,,,,
S1,LT1,B15,1,EXIT,11/6/2020 11:19,,,,
S1,LT1,B1,0,EXIT,10/10/2020 9:37,,,,
S1,LT2,B17,0,EXIT,11/7/2020 8:31,,,,
S1,LT2,B18,0,EXIT,11/8/2020 11:22,,,,
S1,LT1,B19,0,EXIT,11/9/2020 12:28,,,,
S1,LT1,B20,0,EXIT,10/13/2020 18:30,,,,
S1,LT1,B21,1,EXIT,11/8/2020 14:40,,,,
S1,LT1,B22,1,EXIT,11/8/2020 9:44,,,,
S1,LT1,B1,1,EXIT,11/7/2020 12:54,,,,
S1,LT2,B2,0,DROP-OFF,11/7/2020 19:47,,,,
S1,LT1,B3,1,EXIT,11/9/2020 7:06,,,,
S1,LT2,B4,1,EXIT,11/8/2020 10:40,,,,
S1,LT2,B5,0,EXIT,10/18/2020 12:36,,,,
S1,LT1,B6,0,EXIT,11/2/2020 18:37,,,,
S1,LT2,B7,1,EXIT,11/9/2020 11:16,,,,
S1,LT1,B8,0,EXIT,11/5/2020 18:03,,,,
S1,LT2,B9,0,EXIT,10/26/2020 6:33,,,,
S1,LT2,B10,1,EXIT,11/9/2020 13:18,,,,
S1,LT2,B11,1,EXIT,11/7/2020 14:40,,,,
S1,LT1,B12,0,DROP-OFF,10/19/2020 7:18,,,,
S1,LT1,B13,0,EXIT,11/7/2020 7:45,,,,
S1,LT1,B14,1,EXIT,11/2/2020 11:51,,,,
S1,LT1,B15,1,EXIT,11/8/2020 4:09,,,,
S1,LT1,B1,0,EXIT,10/28/2020 13:56,,,,
S1,LT1,B17,0,EXIT,10/31/2020 10:40,,,,
S1,LT1,B40,0,ENTRY,11/9/2020 13:15,,,,
S1,LT2,B41,0,EXIT,11/7/2020 11:15,,,,
S1,LT1,B42,0,EXIT,11/9/2020 12:37,,,,
S1,LT1,B43,0,EXIT,11/7/2020 14:35,,,,
S1,LT2,B44,1,EXIT,10/11/2020 10:12,,,,
S1,LT1,B45,1,EXIT,11/9/2020 7:52,,,,
S1,LT1,B46,0,EXIT,11/5/2020 14:05,,,,
S1,LT2,B47,0,EXIT,11/9/2020 12:23,,,,
S1,LT2,B48,0,ENTRY,11/3/2020 8:21,,,,
S1,LT1,B49,1,EXIT,10/27/2020 15:37,,,,
S1,LT2,B50,0,DROP-OFF,10/27/2020 13:50,,,,
S1,LT1,B51,0,EXIT,10/31/2020 14:40,,,,
S1,LT1,B52,0,ENTRY,10/18/2020 10:36,,,,
S1,LT2,B53,1,EXIT,11/7/2020 11:08,,,,
S1,LT1,B54,0,EXIT,11/6/2020 7:21,,,,
S1,LT1,B55,1,ENTRY,10/10/2020 10:18,,,,
S1,LT1,B56,0,EXIT,11/9/2020 13:08,,,,
S1,LT2,B57,0,EXIT,10/10/2020 10:20,,,,
S1,LT1,B58,0,EXIT,10/10/2020 10:21,,,,
S1,LT2,B59,0,EXIT,11/8/2020 10:15,,,,
S1,LT2,B60,0,DROP-OFF,11/8/2020 11:18,,,,
S1,LT1,B61,0,EXIT,11/6/2020 5:03,,,,
S1,LT2,B62,0,PICK-UP,11/9/2020 13:08,,,,
S1,LT2,B63,1,EXIT,11/7/2020 9:07,,,,
S1,LT1,B64,0,ENTRY,11/9/2020 5:27,,,,
S1,LT1,B65,1,EXIT,10/14/2020 6:27,,,,
S1,LT2,B66,0,EXIT,11/3/2020 15:37,,,,
